case,full_steps,halfsteps,candidate,relative_l2,phase_rms_rad,relative_energy_error,temporal_centroid_s,temporal_width_s,spectral_centroid_rad_s,spectral_width_rad_s
high_k,0.5,1,unitary_projection,1.1449546634081463e-07,7.944692170040779e-08,1.733587353958058e-08,-7.428284852673505e-16,2.073160471579704e-14,-430937717.29988676,10442323694520.232
high_k,20,40,baseline_complex64,1.1529986736101873e-06,6.991076742836872e-07,4.294442189166464e-07,-1.6795560039970694e-15,2.0731708489197915e-14,-430325366.55186385,10442318609580.1
high_k,20,40,orthonormal_fft,3.0195965995569334e-06,1.1426509347380899e-06,5.019184364464379e-06,-1.6795546488799272e-15,2.0731709920654564e-14,-430264319.8993494,10442319067043.764
high_k,20,40,mixed_precision,1.5919816225710727e-07,1.0142729982606687e-07,1.566047204114286e-09,-1.6795569147294787e-15,2.073170578734795e-14,-430913330.25487244,10442324316923.422
high_k,20,40,unitary_projection,1.2074685265233588e-06,7.289055008414223e-07,6.773247837529411e-07,-1.679555720884035e-15,2.0731708513882443e-14,-430363753.389012,10442317237997.791
high_k,200,400,baseline_complex64,8.123478406935996e-06,4.985012300731493e-06,3.731070393107584e-06,-4.802338444178223e-15,2.3107487466606565e-14,-425165309.933539,10442196637122.277
high_k,200,400,orthonormal_fft,2.7333946931721837e-05,1.0583477034894913e-05,4.9002032684046715e-05,-4.8023121209972615e-15,2.3107480159400104e-14,-426460352.3995091,10442118998017.459
high_k,200,400,mixed_precision,5.033706511772538e-07,3.557497533590007e-07,2.1762336772643487e-08,-4.8023766037555305e-15,2.3107488130232135e-14,-430957192.34570175,10442327012864.777
high_k,200,400,unitary_projection,8.8099806218704e-06,5.4923336564164954e-06,6.820633608353878e-06,-4.802341650916623e-15,2.3107487249535902e-14,-425630329.09272516,10442206503219.932
edge_localized,0.5,1,baseline_complex64,1.1111411466133147e-07,6.583797768919245e-08,6.417146890849436e-08,-7.214881273185239e-16,2.073232209668778e-14,-430944577.3649604,10442323425025.611
edge_localized,0.5,1,orthonormal_fft,1.8426429893972422e-07,9.119229287865352e-08,2.0177246264831698e-07,-7.214882552007816e-16,2.073232206473602e-14,-430939793.242695,10442322202488.66
edge_localized,0.5,1,mixed_precision,2.496334958532782e-08,5.634916592525551e-10,4.061074846569583e-08,-7.214881581258807e-16,2.073232199910388e-14,-430967072.63332087,10442323878597.49
edge_localized,0.5,1,unitary_projection,1.1111411466133147e-07,6.583797768919245e-08,6.417146890849436e-08,-7.214881273185239e-16,2.073232209668778e-14,-430944577.3649604,10442323425025.611
edge_localized,20,40,baseline_complex64,1.9302293948685076e-06,9.397599498272563e-07,2.619948882008261e-06,-8.111100552909254e-16,2.0730803895084107e-14,-430281689.9372958,10442323620192.197
edge_localized,20,40,orthonormal_fft,4.157793072323292e-06,1.345479010784799e-06,7.198419588012799e-06,-8.111091698391098e-16,2.0730806566625785e-14,-429752353.95969176,10442328107931.215
edge_localized,20,40,mixed_precision,1.6257163447943773e-07,1.0823559990440566e-07,8.340026904729898e-10,-8.111096340924704e-16,2.0730802373548687e-14,-430954278.91216797,10442325026961.191
edge_localized,20,40,unitary_projection,1.7216210764842097e-06,9.623309830186933e-07,1.9746054896222236e-06,-8.111104810334049e-16,2.0730804768937325e-14,-430401162.53377235,10442314352013.096
edge_localized,200,400,baseline_complex64,1.6217219575139477e-05,1.0114119273100831e-05,2.1183368433697966e-05,-1.5057734894917533e-15,2.0805292549335352e-14,-422266981.0895978,10442298092932.627
edge_localized,200,400,orthonormal_fft,3.786458574036827e-05,1.5560037119629622e-05,6.7413724444796e-05,-1.5057534782752099e-15,2.080531750484318e-14,-421807705.08271694,10442257247675.508
edge_localized,200,400,mixed_precision,5.019456209809133e-07,3.569801320832117e-07,4.2212114305065126e-09,-1.505781724435306e-15,2.0805270276508014e-14,-430934458.30996156,10442323515466.793
edge_localized,200,400,unitary_projection,1.586857305297415e-05,9.885908499128889e-06,2.072759770758815e-05,-1.5057740858720826e-15,2.0805292815442814e-14,-422976948.31972444,10442287022506.723
production_shape,0.5,1,baseline_complex64,9.842242596329289e-08,3.992886388202689e-08,3.962130270079632e-08,-7.196095797510534e-16,2.0732386149530042e-14,-430961914.7218232,10442322818869.414
production_shape,0.5,1,orthonormal_fft,1.4041866663050868e-07,5.205121028151752e-08,1.5981119788884493e-07,-7.19609384410775e-16,2.0732386182233117e-14,-430964375.44586545,10442324946787.809
production_shape,0.5,1,mixed_precision,2.405827320248519e-08,1.3490071881725815e-10,4.688100866806948e-08,-7.19609496355286e-16,2.0732386131114337e-14,-430952700.2676364,10442324334025.316
production_shape,0.5,1,unitary_projection,9.842242596329289e-08,3.992886388202689e-08,3.962130270079632e-08,-7.196095797510534e-16,2.0732386149530042e-14,-430961914.7218232,10442322818869.414
production_shape,20,40,baseline_complex64,9.092399405062063e-07,6.438860906385182e-07,8.14559788882702e-08,-7.345408848628326e-16,2.073197872595056e-14,-430181274.4778817,10442315634006.38
production_shape,20,40,orthonormal_fft,2.318119406846129e-06,9.288084021508071e-07,3.783746508263928e-06,-7.345390112779166e-16,2.073198018475831e-14,-430476579.92054653,10442328733868.568
production_shape,20,40,mixed_precision,1.5007728587277177e-07,9.86282717969656e-08,2.4264265140760014e-09,-7.345408609059892e-16,2.07319760627718e-14,-430927138.8716367,10442324405692.158
production_shape,20,40,unitary_projection,8.994816126705522e-07,6.499621415905116e-07,7.079655055622904e-08,-7.345407332900736e-16,2.0731978505035975e-14,-430129839.45911545,10442316773120.355
production_shape,200,400,baseline_complex64,6.513553964080305e-06,3.9009451806109625e-06,9.195314384597142e-07,-8.684135110104346e-16,2.07340256307256e-14,-422976320.14229393,10442323211409.844
production_shape,200,400,orthonormal_fft,2.011946609429597e-05,8.74905932084382e-06,3.444174038519791e-05,-8.683973285433991e-16,2.073405753892985e-14,-423410062.41422373,10442297442916.844
production_shape,200,400,mixed_precision,4.981192686945527e-07,3.409426834975881e-07,1.7706340546834368e-08,-8.684147152498281e-16,2.0734005017089383e-14,-430964941.70826775,10442325941431.31
production_shape,200,400,unitary_projection,6.560892557740705e-06,3.81269875091589e-06,1.9516479772762966e-06,-8.684137654072486e-16,2.0734026901918173e-14,-423606653.68074024,10442320646995.97
