lag_index,lag_fs,dimensionless_weight,equivalent_kernel_1_s,continuous_kernel_1_s
181,452.5,0.00015128620734035763,60514482936.14305,60526469902.638794
182,455.0,0.00015046113855920375,60184455423.6815,60195617023.29954
183,457.5,0.00014930112880292705,59720451521.17082,59730810997.714066
184,459.99999999999994,0.0001478302393658314,59132095746.332565,59141676943.22588
185,462.5,0.00014607181663563675,58428726654.2547,58437553915.503006
186,465.00000000000006,0.00014404847705629223,57619390822.51689,57627488898.60916
187,467.5,0.0001417820949139429,56712837965.57716,56720231924.26744
188,470.0,0.00013929379279978984,55717517119.91594,55724232261.802475
189,472.49999999999994,0.00013660393460589713,54641573842.35885,54647635621.17835
190,475.0,0.00013373212091255415,53492848365.02166,53498282312.56518
191,477.50000000000006,0.00013069718662854472,52278874651.417885,52283706306.97153
192,480.0,0.00012751720074860798,51006880299.44319,51011135143.6502
193,482.5,0.00012420946809547803,49683787238.191216,49687490631.22644
194,484.99999999999994,0.00012079053291712418,48316213166.84967,48319390290.79549
195,487.5,0.00011727618421319404,46910473685.27761,46913149490.58353
196,490.00000000000006,0.00011368146266813869,45472585067.25548,45474784223.162834
197,492.49999999999994,0.00011002066907208106,44008267628.83242,44010014477.64248
198,495.0,0.0001063073741141503,42522949645.66012,42524268160.720085
199,497.49999999999994,0.00010255442943672572,41021771774.690285,41022685521.97279
200,500.0,9.877397984281855e-05,39509591937.12742,39510124040.27464
201,502.50000000000006,9.497747655263241e-05,37990990621.05296,37991163729.75844
202,504.99999999999994,9.117569140918932e-05,36470276563.67573,36470112825.274506
203,507.5,8.737873193677106e-05,34951492774.70842,34951013808.84634
204,510.00000000000006,8.359605715978494e-05,33438422863.913975,33437649740.16848
205,512.5,7.983649409352743e-05,31934597637.410973,31933550855.73442
206,515.0,7.610825482216005e-05,30443301928.864017,30442001402.72191
207,517.5,7.241895408303024e-05,28967581633.212097,28966046675.291283
208,520.0,6.877562728026201e-05,27510250912.104805,27508500222.46499
209,522.5,6.51847488542821e-05,26073899541.712837,26071951198.2595
210,525.0,6.165225093765165e-05,24660900375.06066,24658771826.21702
