t_fs,I_W_m-2,I_R_continuous_W_m-2,I_R_iir_fp64_W_m-2,I_R_iir_fp32_W_m-2,fp64_error_over_response_peak,fp32_error_over_response_peak,Q_gaussian_dimensionless,p_rot_over_A_gaussian,delta_n_elec,delta_n_rot,rot_over_electronic_peak,rot_over_instantaneous_electronic,eq10_power_density_W_m-3
-385.0,201594.19864334163,3128.4467820363675,3167.9821310859866,3168.4189453125,9.44279047068102e-17,9.547121033449093e-17,2.665332907514894e-16,1.1454970707152461e-20,1.5724347494180647e-18,7.195427598683646e-20,1.8449814355599092e-14,nan,7.1734424791010415e-09
-382.5,291690.87067175,4578.59393682443,4635.6460513250295,4636.27783203125,1.3626569034772568e-16,1.3777466218575649e-16,3.9008101911910554e-16,1.6764759984867154e-20,2.27518879123965e-18,1.053076605469619e-19,2.700196424281074e-14,nan,1.5091989492228332e-08
-380.0,421039.0726654094,6685.239843166806,6767.371438684269,6768.28271484375,1.9616658664648925e-16,1.9834311728091027e-16,5.695602639282826e-16,2.4478353607766138e-20,3.2841047667901934e-18,1.5376051639283656e-19,3.942577343406066e-14,nan,3.159970869006376e-08
-377.5,606284.8569897538,9738.311192604178,9856.262230070182,9857.572265625,2.8171926120926806e-16,2.8484820569835303e-16,8.296718177949432e-16,3.5657333245670356e-20,4.72902188452008e-18,2.239811574298961e-19,5.743106600766567e-14,nan,6.584721551377226e-08
-375.0,870935.1101957192,14152.47463412205,14321.459091451692,14323.33984375,4.036096459810858e-16,4.0810171454936484e-16,1.2057439040258162e-15,5.1820022414465276e-20,6.793293859526609e-18,3.255069165848072e-19,8.346331194482235e-14,nan,1.3655560812303622e-07
-372.5,1248100.7186852735,20003.269430229942,20760.861003221406,20763.5546875,1.809463848955435e-15,1.8158975587489193e-15,1.7042122172707873e-15,7.324301205514277e-20,9.735185605745133e-18,4.600751968952887e-19,1.1796799920392018e-13,nan,2.7474954635279784e-07
-370.0,1784301.4350890645,28937.698749782812,30025.263689051924,30029.111328125,2.5975862340024293e-15,2.606776098376274e-15,2.465395965449162e-15,1.0595688998596209e-19,1.3917551193694702e-17,6.655670712450048e-19,1.7065822339615507e-13,nan,5.644091283022812e-07
-367.5,2544729.2001232454,41765.16475991786,43322.347087852126,43327.828125,3.719240325632647e-15,3.732331467254905e-15,3.558253528926305e-15,1.5292532436586413e-19,1.9848887760961315e-17,9.605987894781108e-19,2.463073819174643e-13,nan,1.1539133681465376e-06
-365.0,3620509.3941838723,61691.52467624184,62362.154319218826,62369.94921875,1.6017602864999409e-15,1.6203779551894247e-15,5.255913310672487e-15,2.2588672823321455e-19,2.82399732746342e-17,1.4189050675535623e-18,3.638218121932211e-13,nan,2.408508237045951e-06
-362.5,5138691.44519639,88609.51173385333,89560.09340298294,89571.140625,2.2704095809538798e-15,2.2967952346278358e-15,7.549236538054078e-15,3.2444833874580926e-19,4.008179327253184e-17,2.038018769878627e-18,5.225689153534941e-13,nan,4.8764186602551305e-06
-360.0,7275957.614183429,126975.33808499844,128319.4762011267,128335.1171875,3.2103964931042865e-15,3.247754088428024e-15,1.0817877708007033e-14,4.649268086151286e-19,5.675246939063075e-17,2.920432775954964e-18,7.488289169115292e-13,nan,9.825895207164176e-06
-357.5,10277382.890392726,181527.70941917,183423.74292098233,183445.8125,4.528566842937251e-15,4.5812787616251146e-15,1.546555882998846e-14,6.64673155341181e-19,8.016358654506327e-17,4.17513731664091e-18,1.0705480299079257e-12,nan,1.9704326698875282e-05
-355.0,14482037.576735491,258911.4866447608,261579.54689214632,261610.609375,6.372508270407601e-15,6.4466992220843675e-15,2.205840001659526e-14,9.480178829606038e-19,1.1295989309853683e-16,5.954964192829499e-18,1.5269138955973074e-12,nan,3.932506331251243e-05
-352.5,20357833.60098586,368421.42756395205,372166.77948889247,372210.40625,8.945557410353753e-15,9.049757417171914e-15,3.138828380774422e-14,1.348994230896047e-18,1.587911020876897e-16,8.473692833970897e-18,2.17274175230023e-12,nan,7.810802410840786e-05
-350.0,28548822.961424943,523026.81051951274,528271.7062352808,528332.8125,1.2527131409011277e-14,1.2673080203712643e-14,4.456014970735114e-14,1.9150898867637354e-18,2.2268081909911454e-16,1.2029616641948793e-17,3.0845170876791777e-12,nan,0.00015439751008096498
-347.5,39939222.99792855,740779.356358884,748106.3895083946,748191.8125,1.7500196777250782e-14,1.7704224673930226e-14,6.311194446548473e-14,2.7124021659178818e-18,3.115259393838427e-16,1.7037925196254335e-17,4.368698768270342e-12,nan,0.0003037409736121511
-345.0,55739847.05252665,1046742.8106739558,1056953.7658403397,1057072.875,2.438827845447082e-14,2.4672763823854925e-14,8.917901608599251e-14,3.832703277243478e-18,4.3477080700970788e-16,2.4075084645500986e-17,6.173098627051535e-12,nan,0.0005946822056208468
-342.5,77604461.6946884,1475630.5928419803,1489826.1137019298,1489991.75,3.3905184176937614e-14,3.430079693731899e-14,1.257188327773741e-13,5.403098212391585e-18,6.053148012185695e-16,3.393950363536555e-17,8.70243682958091e-12,nan,0.0011587373503317365
-340.0,107786002.60234527,2075401.9493307073,2095089.100497549,2095319.125,4.702162694954124e-14,4.757102722852752e-14,1.768173632882143e-13,7.599192248261811e-18,8.407308202982932e-16,4.773424483460627e-17,1.2239549957591351e-11,nan,0.0022470026891846704
-337.5,149345725.78393635,2912152.1386263357,2939389.236197203,2939707.5,6.505423919955824e-14,6.581439396648418e-14,2.481057044453959e-13,1.066299661361741e-17,1.1648966611147035e-15,6.697949918840572e-17,1.717423056112967e-11,nan,0.004336513711573871
-335.0,206432459.41078272,4076744.9218439898,4114336.0192842637,4114775.25,8.978417169049399e-14,9.08332489635388e-14,3.473251473583388e-13,1.4927213698632317e-17,1.6101731834041053e-15,9.376513320241177e-17,2.404234184677225e-11,nan,0.008329068267296813
-332.5,284654420.57900614,5693784.590599383,5745539.9377782615,5746145.5,1.2361466659473145e-13,1.2506101709227233e-13,4.850915644391275e-13,2.084808860187727e-17,2.2203044805162477e-15,1.3095704558378582e-16,3.3578729636868156e-11,nan,0.01592101325919704
-330.0,391572907.2195082,7933720.986104623,8004804.894961044,8005637.5,1.6977982319714353e-13,1.7176845239017925e-13,6.759267168847864e-13,2.9049732287724344e-17,3.0542686763121637e-15,1.8247558268040634e-16,4.678861094369393e-11,nan,0.03028751118338015
-327.5,537355991.1516274,11029138.68860845,11126532.87527415,11127674.0,2.3262040676366584e-13,2.353459174638734e-13,9.396460395966566e-13,4.038376530122579e-17,4.191376730982694e-15,2.536701898379944e-16,6.504363841999856e-11,nan,0.05734229710451694
-325.0,735641653.8864932,15296619.062384209,15429738.117735047,15431300.0,3.179471985324652e-13,3.216776643870387e-13,1.3032212149108026e-12,5.600936678361055e-17,5.738004900314647e-15,3.518222384348368e-16,9.021083036790687e-11,nan,0.10804513427016962
-322.5,1004674283.5614086,21166004.515127584,21347511.21925437,21349642.0,4.3351831140837043e-13,4.3860755852610447e-13,1.8032733904476749e-12,7.750042708107819e-17,7.836459411778987e-15,4.868181038479345e-16,1.2482515483280371e-10,nan,0.2026067818038551
-320.0,1368796911.3472793,29219467.994093046,29466350.407330822,29469248.0,5.896644281993187e-13,5.965851614423937e-13,2.48940177061414e-12,1.0698860273820819e-16,1.0676615908508779e-14,6.7204776386414e-16,1.723199394523436e-10,nan,0.3781128076489137
-317.5,1860405026.4697144,40243535.29422555,40578525.768794544,40582464.0,8.001054593090728e-13,8.095116977746913e-13,3.428615744731232e-12,1.4735379888659745e-16,1.451115920646377e-14,9.256013117671877e-16,2.373336696838943e-10,nan,0.7022753878889656
-315.0,2522497525.321107,55298171.19568161,55751610.70487413,55756952.0,1.0830141580537409e-12,1.0957715339029782e-12,4.711220796835952e-12,2.024771317328649e-16,1.9675480697504635e-14,1.2718579375006771e-15,3.261174198719685e-10,nan,1.2981119871950437
-312.5,3411997862.5420604,75808283.36044091,76420564.13610682,76427776.0,1.4623973767331482e-12,1.4796224983732554e-12,6.458614334212067e-12,2.775759748382606e-16,2.661358332782807e-14,1.743590517290141e-15,4.470744916128567e-10,nan,2.388006604127919
-310.0,4604065663.84915,103684596.49236642,104509353.50241885,104519072.0,1.969884627899971e-12,1.993096699768486e-12,8.83358376496414e-12,3.796465461464172e-16,3.5911712178023367e-14,2.3847457193244277e-15,6.114732613652379e-10,nan,4.371973629167219
-307.5,6197678224.469495,141482898.98931798,142591168.25246182,142604240.0,2.647037319394588e-12,2.678258435700846e-12,1.2053873784657249e-11,5.18046997887787e-16,4.834189015086206e-14,3.2541066767543136e-15,8.34386327372901e-10,nan,7.9659611414821345
-305.0,8322835231.782819,192613284.42963135,194098905.9790134,194116416.0,3.54832152662592e-12,3.5901432035019864e-12,1.641001305704342e-11,7.052635651720041e-16,6.491811480790599e-14,4.430105541881521e-15,1.135924497918339e-09,nan,14.444997206110125
-302.5,11149832068.066065,261614349.09994185,263600967.53117248,263624384.0,4.744923730851608e-12,4.800852618294578e-12,2.2288674934092542e-11,9.579145545061585e-16,8.696869013091531e-14,6.0171300292986624e-15,1.5428538536663237e-09,nan,26.06845874593891
