IR_normalized,I_normalized,case,parameter_set,phase_ratio_nRIR_over_n2I,t_fs
0.7768005881401338,0.17592782144487065,120fs,P1_implemented,13.01991815740895,575.0
0.7652024759213037,0.16035875200984706,120fs,P1_implemented,14.070739806044429,577.5
0.7527601938062517,0.14581612994701473,120fs,P1_implemented,15.222441408666251,580.0
0.7395227668321861,0.1322736154897099,120fs,P1_implemented,16.485858105339737,582.5
0.7255407106837171,0.1197004100873214,120fs,P1_implemented,17.87307925309488,585.0
0.7108657239179392,0.10806195220235423,120fs,P1_implemented,19.39759995562563,587.5
0.6955503877170484,0.09732059081705573,120fs,P1_implemented,21.074490971334587,590.0
0.6796478751602618,0.0874362295336445,120fs,P1_implemented,22.920589085122067,592.5
0.6632116717736284,0.07836693530522887,120fs,P1_implemented,24.954710207069308,595.0
0.6462953088794506,0.0700695069844097,120fs,P1_implemented,27.197887633047998,597.5
0.628952111030251,0.0625,120fs,P1_implemented,29.673638058863123,600.0
0.6112349585789397,0.05561420454897255,120fs,P1_implemented,32.408258067567544,602.5
0.5931960662101412,0.04936807570340361,120fs,P1_implemented,35.43115389085603,605.0
0.574886778040173,0.043718114766822164,120fs,P1_implemented,38.77520725514375,607.5
0.5563573796872335,0.03862170206029014,120fs,P1_implemented,42.47718002755231,610.0
0.5376569275207694,0.03403738206811994,120fs,P1_implemented,46.57816013170863,612.5
0.5188330951212343,0.029925102521830397,120fs,P1_implemented,51.12405074825766,615.0
0.49993203681955783,0.026246409547000246,120fs,P1_implemented,56.16610407107807,617.5
0.48099826804032697,0.022964601441806214,120fs,P1_implemented,61.761499752865056,620.0
0.46207456204425795,0.02004484400123085,120fs,P1_implemented,67.97396650541272,622.5
0.4432018625540697,0.017454250552003846,120fs,P1_implemented,74.87444294011088,625.0
0.4244192116530814,0.015161930026670491,120fs,P1_implemented,82.54177040658634,627.5
0.40576369226727715,0.01313900648833923,120fs,P1_implemented,91.0634060032207,630.0
0.3872703844785031,0.011358613529034736,120fs,P1_implemented,100.5361376896593,632.5
0.3689723348680203,0.009795866913153579,120fs,P1_implemented,111.06677500332056,635.0
0.3509005380548409,0.008427818732477502,120fs,P1_implemented,122.77277758594188,637.5
0.3330839295710135,0.007233396189744438,120fs,P1_implemented,135.78276867345954,640.0
0.3155493892051505,0.006193327942884274,120fs,P1_implemented,150.23686073740973,642.5
0.2983217539447936,0.005290060730222238,120fs,P1_implemented,166.28669408736206,645.0
0.2814238396564939,0.00450766876622248,120fs,P1_implemented,184.0950545014532,647.5
0.2648764706585403,0.003831758154956703,120fs,P1_implemented,203.83489031361543,650.0
0.2486985163639472,0.003249368320950653,120fs,P1_implemented,225.68748956330845,652.5
0.2329069341994977,0.002748872210076091,120fs,P1_implemented,249.8394995364003,655.0
0.2175168180392832,0.0023198767715604104,120fs,P1_implemented,276.4783687493154,657.5
0.20254145142731345,0.0019531249999999933,120fs,P1_implemented,305.78565794975015,660.0
0.1879923649024983,0.0016404005966875227,120fs,P1_implemented,337.9274926681373,662.5
0.1738793967798154,0.001374436105038049,120fs,P1_implemented,373.04120309230217,665.0
