alpha_eq10_m_inv,alpha_eq11_m_inv,boxcar_edge_method,dt_fs,path,pulse_fs,relative_error,u_R_signed_J_m3
0.0766440130156659,0.07664380511568294,analytic_distributional_flux,0.31250000000000006,fft_linear,500.0,2.7125477739205053e-06,-19161.003253916475
0.07664316231910781,0.07664380511568294,analytic_distributional_flux,0.31250000000000006,iir,500.0,8.386804049774407e-06,-19160.790579776953
0.03835148252696965,0.03835997426493687,analytic_distributional_flux,2.5000000000000004,direct,1000.0,0.00022136975141256364,-19175.741263484822
0.038351482526969655,0.03835997426493687,analytic_distributional_flux,2.5000000000000004,fft_linear,1000.0,0.00022136975141238274,-19175.741263484826
0.03831012294904887,0.03835997426493687,analytic_distributional_flux,2.5000000000000004,iir,1000.0,0.0012995659367156223,-19155.061474524435
0.038357851081599816,0.03835997426493687,analytic_distributional_flux,1.2500000000000002,direct,1000.0,5.534892495989724e-05,-19178.925540799908
0.038357851081599816,0.03835997426493687,analytic_distributional_flux,1.2500000000000002,fft_linear,1000.0,5.534892495989724e-05,-19178.925540799908
0.03834737430220469,0.03835997426493687,analytic_distributional_flux,1.2500000000000002,iir,1000.0,0.00032846640211898646,-19173.687151102346
0.038359443362894936,0.03835997426493687,analytic_distributional_flux,0.6250000000000001,direct,1000.0,1.383999995062729e-05,-19179.721681447467
0.038359443362894936,0.03835997426493687,analytic_distributional_flux,0.6250000000000001,fft_linear,1000.0,1.383999995062729e-05,-19179.721681447467
0.03835680689787602,0.03835997426493687,analytic_distributional_flux,0.6250000000000001,iir,1000.0,8.256958252830341e-05,-19178.40344893801
0.03835984148746083,0.03835997426493687,analytic_distributional_flux,0.31250000000000006,direct,1000.0,3.461354669446581e-06,-19179.920743730414
0.038359841487460834,0.03835997426493687,analytic_distributional_flux,0.31250000000000006,fft_linear,1000.0,3.461354669265692e-06,-19179.920743730418
0.038359180168503836,0.03835997426493687,analytic_distributional_flux,0.31250000000000006,iir,1000.0,2.070117220488918e-05,-19179.59008425192
