E_dep_cumulative_J,E_dep_fraction,U0_J,case,x_focus_cm,z_m
2.4182270408346085e-07,0.00011136151227656972,0.00217151059769094,popruzhenko,-46.19000077247619,0.48809999227523804
2.41926784383395e-07,0.00011140944218308033,0.00217151059769094,popruzhenko,-46.17999911308288,0.48820000886917114
2.4203089310503856e-07,0.00011145738517804166,0.00217151059769094,popruzhenko,-46.17000043392181,0.48829999566078186
2.42135058670101e-07,0.00011150535434990442,0.00217151059769094,popruzhenko,-46.159998774528496,0.48840001225471497
2.4223925265687285e-07,0.00011155333661021788,0.00217151059769094,popruzhenko,-46.150000095367425,0.4884999990463257
2.4234350348706357e-07,0.00011160134504743278,0.00217151059769094,popruzhenko,-46.14000141620635,0.4885999858379364
2.424477827389637e-07,0.00011164936657309839,0.00217151059769094,popruzhenko,-46.12999975681304,0.4887000024318695
2.4255211883428274e-07,0.00011169741427566542,0.00217151059769094,popruzhenko,-46.12000107765197,0.4887999892234802
2.426564833513112e-07,0.00011174547506668316,0.00217151059769094,popruzhenko,-46.10999941825866,0.48890000581741333
2.4276087629004905e-07,0.00011179354894615163,0.00217151059769094,popruzhenko,-46.10000073909759,0.48899999260902405
2.428653260722058e-07,0.00011184164900252151,0.00217151059769094,popruzhenko,-46.08999907970428,0.48910000920295715
2.429698326977814e-07,0.00011188977523579282,0.00217151059769094,popruzhenko,-46.080000400543206,0.48919999599456787
2.430743677450664e-07,0.00011193791455751484,0.00217151059769094,popruzhenko,-46.069998741149895,0.489300012588501
2.4317893121406087e-07,0.00011198606696768757,0.00217151059769094,popruzhenko,-46.06000006198882,0.4893999993801117
2.4328352310476475e-07,0.00011203423246631102,0.00217151059769094,popruzhenko,-46.05000138282775,0.4894999861717224
2.4338820026059693e-07,0.0001120824372302866,0.00217151059769094,popruzhenko,-46.03999972343444,0.4896000027656555
2.434928774164291e-07,0.0001121306419942622,0.00217151059769094,popruzhenko,-46.03000104427337,0.48969998955726624
2.4359761141568015e-07,0.00011217887293513921,0.00217151059769094,popruzhenko,-46.01999938488006,0.48980000615119934
2.4370240225835005e-07,0.00011222713005291765,0.00217151059769094,popruzhenko,-46.01000070571899,0.48989999294281006
2.438072215227294e-07,0.0001122754002591468,0.00217151059769094,popruzhenko,-45.99999904632568,0.49000000953674316
2.4391206920881814e-07,0.00011232368355382666,0.00217151059769094,popruzhenko,-45.990000367164605,0.4900999963283539
2.4401697373832576e-07,0.00011237199302540795,0.00217151059769094,popruzhenko,-45.979998707771294,0.490200012922287
2.441219066895428e-07,0.00011242031558543995,0.00217151059769094,popruzhenko,-45.97000002861022,0.4902999997138977
2.442268964841787e-07,0.00011246866432237339,0.00217151059769094,popruzhenko,-45.96000134944915,0.4903999865055084
2.4433191470052407e-07,0.00011251702614775752,0.00217151059769094,popruzhenko,-45.94999969005584,0.49050000309944153
