x_focus_cm,rho_1e16_cm3
-4.996503516936066,3.4706838078712785
-4.926719948263781,3.3818755422351856
-4.856936379591488,3.3108289297263127
-4.787152810919196,3.3108289297263127
-4.717369242246903,3.23978231721744
-4.647585673574611,3.2042590109630034
-4.577802104902325,3.168735704708567
-4.508018536230033,3.097689092199694
-4.43823496755774,3.0621657859452576
-4.368451398885448,2.9911191734363847
-4.298667830213162,2.9733575203091682
-4.22888426154087,2.9023109078002953
-4.159100692868577,2.849025948418639
-4.089317124196285,2.795740989036986
-4.019533555523992,2.7602176827825495
-3.9497499868517068,2.724694376528113
-3.8799664181794142,2.724694376528113
-3.8101828495071217,2.706932723400893
-3.740399280834829,2.6714094171464566
-3.670615712162544,2.63588611089202
-3.6008321434902513,2.547077845255931
-3.5310485748179588,2.5115545390014944
-3.4612650061456662,2.476031232747058
-3.3914814374733737,2.4049846202381815
-3.321697868801081,2.3516996608565286
-3.2519143001287887,2.3339380077293086
-3.1821307314565104,2.209606435838783
-3.112347162784218,2.049751557693817
-3.0425635941119253,2.0319899045666006
-2.972780025439633,1.978704945184944
-2.9029964567673403,1.9431816389305077
-2.833212888095048,1.9254199858032912
-2.7634293194227553,1.8898966795488548
-2.6936457507504628,1.8543733732944183
-2.6238621820781702,1.8010884139127619
-2.554078613405892,1.730041801403889
-2.4842950447335994,1.676756842022236
-2.414511476061307,1.658995188895016
-2.3447279073890144,1.5879485763861432
-2.274944338716722,1.5701869232589267
-2.2051607700444293,1.5169019638772703
-2.135377201372137,1.4458553513683974
-2.0655936326998443,1.3925703919867445
-1.9958100640275518,1.357047085732308
-1.9260264953552735,1.3215237794778716
-1.856242926682981,1.2682388200962151
-1.7864593580106884,1.2327155138417787
-1.716675789338396,1.1794305544601258
-1.6468922206661034,1.1261455950784693
-1.577108651993811,1.090622288824033
-1.5073250833215184,1.0373373294423764
-1.4375415146492259,0.9840523700607235
-1.3677579459769333,0.9485290638062871
-1.297974377304655,0.9130057575518506
-1.2281908086323625,0.8774824512974142
-1.15840723996007,0.8419591450429778
-1.0886236712877775,0.8064358387885413
-1.018840102615485,0.7709125325341049
-0.9490565339431924,0.7176275731524484
-0.8792729652708999,0.699865920025232
-0.8094893965986074,0.6465809606435755
-0.7397058279263149,0.6288193075163591
-0.6699222592540224,0.5932960012619226
-0.6001386905817441,0.5755343481347026
-0.5303551219094516,0.5400110418802662
-0.46057155323715904,0.5044877356258297
-0.3907879845648665,0.48672608249861327
-0.321004415892574,0.4512027762441768
-0.2512208472202815,0.4512027762441768
-0.18143727854798897,0.41567946998974037
-0.11165370987569645,0.41567946998974037
-0.04187014120340393,0.3801561637353039
0.027913427468874374,0.3801561637353039
0.09769699614116689,0.34463285748086747
0.1674805648134594,0.34463285748086747
0.23726413348575193,0.32687120435364747
0.30704770215804444,0.309109551226431
0.37683127083033696,0.291347898099211
0.4466148395026295,0.2735862449719946
0.516398408174922,0.2735862449719946
0.5861819768472145,0.23806293871755813
0.6559655455194928,0.23806293871755813
0.7257491141917853,0.23806293871755813
0.7955326828640779,0.22030128559033813
0.8653162515363704,0.20253963246312168
0.9350998202086629,0.20253963246312168
1.0048833888809554,0.16701632620868523
1.074666957553248,0.16701632620868523
1.1444505262255404,0.16701632620868523
1.214234094897833,0.16701632620868523
1.2840176635701113,0.14925467308146523
1.3538012322424038,0.14925467308146523
1.4235848009146963,0.14925467308146523
1.4933683695869888,0.14925467308146523
1.5631519382592813,0.13149301995424878
1.6329355069315739,0.13149301995424878
1.7027190756038664,0.13149301995424878
1.772502644276159,0.13149301995424878
1.8422862129484514,0.11373136682702878
1.9120697816207297,0.11373136682702878
1.9818533502930222,0.11373136682702878
2.0516369189653147,0.11373136682702878
2.1214204876376073,0.11373136682702878
2.1912040563099,0.11373136682702878
2.2609876249821923,0.11373136682702878
2.330771193654485,0.11373136682702878
